State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Uttar Pradesh,Bareilly,Anwala,Potato,Desi,FAQ,07/04/2024,1000,1200.0,1100
Uttar Pradesh,Bijnor,Kiratpur,Apple,Apple,Medium,07/04/2024,1300,1400.0,1350
Uttar Pradesh,Bijnor,Kiratpur,Bottle gourd,Bottle Gourd,FAQ,07/04/2024,800,900.0,850
Uttar Pradesh,Bulandshahar,Anoop Shahar,Raddish,Raddish,FAQ,07/04/2024,400,600.0,500
Uttar Pradesh,Bulandshahar,Gulavati,Brinjal,Other,FAQ,07/04/2024,700,900.0,800
Uttar Pradesh,Bulandshahar,Gulavati,Garlic,Desi,FAQ,07/04/2024,8100,8300.0,8200
Uttar Pradesh,Bulandshahar,Gulavati,Ginger(Green),Green Ginger,FAQ,07/04/2024,7100,7300.0,7200
Uttar Pradesh,Etah,Ganjdudwara,Potato,Desi,FAQ,07/04/2024,1000,1250.0,1150
Uttar Pradesh,Etah,Ganjdudwara,Rice,Common,FAQ,07/04/2024,2200,2450.0,2300
Uttar Pradesh,Fatehpur,Bindki,Onion,Red,FAQ,07/04/2024,1700,1850.0,1780
Uttar Pradesh,Firozabad,Shikohabad,Orange,Orange,Medium,07/04/2024,2200,2500.0,2400
Uttar Pradesh,Firozabad,Shikohabad,Potato,Potato,FAQ,07/04/2024,1100,1200.0,1150
Uttar Pradesh,Hathras,Sikandraraau,Wheat,Dara,FAQ,07/04/2024,2275,2275.0,2275
Uttar Pradesh,Jalaun (Orai),Ait,Peas(Dry),Other,FAQ,07/04/2024,3800,4200.0,4000
Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,Bottle gourd,Bottle Gourd,FAQ,07/04/2024,1410,1500.0,1450
Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,Cucumbar(Kheera),Cucumbar,FAQ,07/04/2024,1410,1500.0,1450
Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,Tomato,Deshi,FAQ,07/04/2024,1810,2000.0,1850
Uttar Pradesh,Lalitpur,Mehrauni,Wheat,147 Average,FAQ,07/04/2024,2450,2475.0,2475
Uttar Pradesh,Maharajganj,Anandnagar,Banana - Green,Banana - Green,FAQ,07/04/2024,1100,1300.0,1200
Uttar Pradesh,Maharajganj,Anandnagar,Orange,Orange,Medium,07/04/2024,6000,7500.0,6500
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj,Bottle gourd,Bottle Gourd,FAQ,07/04/2024,1000,1100.0,1050
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj,Potato,Desi,FAQ,07/04/2024,1100,1400.0,1150
Uttar Pradesh,Muradabad,Sambhal,Bottle gourd,Bottle Gourd,FAQ,07/04/2024,600,700.0,650
Uttar Pradesh,Muradabad,Sambhal,Onion,Red,FAQ,07/04/2024,1400,1600.0,1500
Uttar Pradesh,Muradabad,Sambhal,Potato,Desi,FAQ,07/04/2024,800,1050.0,900
